Codigo,Descricao,Data_Inicio,Data_Fim,Tipo_Ato_Ini,Numero_Ato_Ini,Ano_Ato_Ini
85,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios.",01/04/2022,31/12/9999,Res Camex,272,2021
85.01,"Motores e geradores, elétricos, exceto os grupos eletrogêneos.",01/04/2022,31/12/9999,Res Camex,272,2021
8501.10,"- Motores de potência não superior a 37,5 W",01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.1,De corrente contínua,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.11,"De passo não superior a 1,8°",01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.2,De corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.21,Síncronos,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.29,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.30,Universais,01/04/2022,31/12/9999,Res Camex,272,2021
8501.20.00,"- Motores universais de potência superior a 37,5 W",01/04/2022,31/12/9999,Res Camex,272,2021
8501.3,"- Outros motores de corrente contínua; geradores de corrente contínua, exceto os geradores fotovoltaicos:",01/04/2022,31/12/9999,Res Camex,272,2021
8501.31,-- De potência não superior a 750 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.31.10,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.31.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.32,"-- De potência superior a 750 W, mas não superior a 75 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.32.10,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.32.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.33,"-- De potência superior a 75 kW, mas não superior a 375 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.33.10,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.33.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34,-- De potência superior a 375 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.1,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.11,De potência não superior a 3.000 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40,"- Outros motores de corrente alternada, monofásicos",01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.1,De potência não superior a 15 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.11,Síncronos,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.2,De potência superior a 15 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.21,Síncronos,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.29,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.5,"- Outros motores de corrente alternada, polifásicos:",01/04/2022,31/12/9999,Res Camex,272,2021
8501.51,-- De potência não superior a 750 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.51.10,"Trifásicos, com rotor de gaiola",01/04/2022,31/12/9999,Res Camex,272,2021
8501.51.20,"Trifásicos, com rotor de anéis",01/04/2022,31/12/9999,Res Camex,272,2021
8501.51.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.52,"-- De potência superior a 750 W, mas não superior a 75 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.52.10,"Trifásicos, com rotor de gaiola",01/04/2022,31/12/9999,Res Camex,272,2021
8501.52.20,"Trifásicos, com rotor de anéis",01/04/2022,31/12/9999,Res Camex,272,2021
8501.52.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.53,-- De potência superior a 75 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.10,"Trifásicos, de potência não superior a 7.500 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.20,"Trifásicos, de potência superior a 7.500 kW, mas não superior a 30.000 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.30,"Trifásicos, de potência superior a 30.000 kW, mas não superior a 50.000 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.6,"- Geradores de corrente alternada (alternadores), exceto os geradores fotovoltaicos:",01/04/2022,31/12/9999,Res Camex,272,2021
8501.61.00,-- De potência não superior a 75 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8501.62.00,"-- De potência superior a 75 kVA, mas não superior a 375 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8501.63.00,"-- De potência superior a 375 kVA, mas não superior a 750 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8501.64.00,-- De potência superior a 750 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8501.7,- Geradores fotovoltaicos de corrente contínua:,01/04/2022,31/12/9999,Res Camex,272,2021
8501.71.00,-- De potência não superior a 50 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.72,-- De potência superior a 50 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.72.10,De potência não superior a 75 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.72.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.80.00,- Geradores fotovoltaicos de corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
85.02,Grupos eletrogêneos e conversores rotativos elétricos.,01/04/2022,31/12/9999,Res Camex,272,2021
8502.1,"- Grupos eletrogêneos de motor de pistão, de ignição por compressão (motores diesel ou semidiesel):",01/04/2022,31/12/9999,Res Camex,272,2021
